Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Year,Month,Quarter,profit margin
27-11-2022,Mouse,Accessories,East,7,1197,106.53,2022,November,Q4,0.088997494
28-11-2022,Tablet,Electronics,South,5,5865,502.73,2022,November,Q4,0.085716965
29-11-2022,Mouse,Accessories,South,2,786,202.87,2022,November,Q4,0.258104326
30-11-2022,Mouse,Accessories,West,1,509,103.28,2022,November,Q4,0.202907662
1/12/2022,Camera,Electronics,West,1,524,106.35,2022,December,Q4,0.202958015
2/12/2022,Headphones,Accessories,North,7,6167,1027.98,2022,December,Q4,0.166690449
3/12/2022,Camera,Electronics,South,7,3059,873.5,2022,December,Q4,0.285550834
4/12/2022,Smartwatch,Electronics,East,9,5526,595.28,2022,December,Q4,0.107723489
5/12/2022,Printer,Office,South,8,672,186.37,2022,December,Q4,0.27733631
6/12/2022,Monitor,Accessories,South,6,7074,1357.68,2022,December,Q4,0.19192536
7/12/2022,Smartwatch,Electronics,East,2,502,137.4,2022,December,Q4,0.273705179
8/12/2022,Tablet,Electronics,North,7,7462,2166.17,2022,December,Q4,0.290293487
9/12/2022,Smartphone,Electronics,West,5,4205,585.29,2022,December,Q4,0.139189061
10/12/2022,Camera,Electronics,West,1,570,138.54,2022,December,Q4,0.243052632
11/12/2022,Headphones,Accessories,East,1,441,102.42,2022,December,Q4,0.232244898
12/12/2022,Mouse,Accessories,North,7,7469,589.81,2022,December,Q4,0.078967733
13-12-2022,Tablet,Electronics,South,2,2212,145.75,2022,December,Q4,0.065890597
14-12-2022,Tablet,Electronics,East,5,740,146.39,2022,December,Q4,0.197824324
15-12-2022,Headphones,Accessories,North,1,662,193.92,2022,December,Q4,0.292930514
16-12-2022,Mouse,Accessories,North,7,5712,651.27,2022,December,Q4,0.114017857
17-12-2022,Smartwatch,Electronics,North,3,2739,572.73,2022,December,Q4,0.209101862
18-12-2022,Keyboard,Accessories,West,5,1400,213.63,2022,December,Q4,0.152592857
